"","age","ed","employ","address","income","debtinc","creddebt","othdebt","default","preddef1","preddef2","preddef3"
"1",41,"Some college",17,12,176,9.3,11.359392,5.008608,"Yes",0.808394327359702,0.788640431821437,0.213043376128119
"2",27,"Did not complete high school",10,6,31,17.3,1.362202,4.000798,"No",0.198297476159104,0.128445387038174,0.436903005506046
"3",40,"Did not complete high school",15,14,55,5.5,0.856075,2.168925,"No",0.0100361080990023,0.00298677834821412,0.141022623460993
"4",41,"Did not complete high school",15,14,120,2.9,2.65872,0.82128,"No",0.0221382837594812,0.0102732648580009,0.104422211934525
"5",24,"High school degree",2,0,28,17.3,1.787436,3.056564,"Yes",0.781588314152869,0.737884820480045,0.436903005506046
"6",41,"High school degree",5,5,25,10.2,0.3927,2.1573,"No",0.216708941468906,0.328194657083002,0.233577086224484
"7",39,"Did not complete high school",20,9,67,30.6,3.833874,16.668126,"No",0.18596010843841,0.179255712952496,0.817091719095171
"8",43,"Did not complete high school",12,11,38,3.6,0.128592,1.239408,"No",0.014708653491152,0.010572667741295,0.113357560419516
"9",24,"Did not complete high school",3,4,19,24.4,1.358348,3.277652,"Yes",0.748041203606411,0.619443452160334,0.663903973464324
"10",36,"Did not complete high school",0,13,25,19.7,2.7777,2.1473,"No",0.815057013081852,0.79722745061275,0.515530082740544
"11",27,"Did not complete high school",0,1,16,1.7,0.182512,0.089488,"No",0.350309226043236,0.610511356012177,0.0905475842743514
"12",25,"Did not complete high school",4,0,23,5.2,0.252356,0.943644,"No",0.239053902326814,0.219023649798498,0.136307035904262
"13",52,"Did not complete high school",24,14,64,10,3.9296,2.4704,"No",0.00979017347264589,0.00628468428836779,0.228897785847298
"14",37,"Did not complete high school",6,9,29,16.3,1.715901,3.011099,"No",0.364494047547502,0.340467555901854,0.4048353225734
"15",48,"Did not complete high school",22,15,100,9.1,3.7037,5.3963,"No",0.0118739038464262,0.00771406996447905,0.208663437695647
"16",36,"High school degree",9,6,49,8.6,0.817516,3.396484,"Yes",0.0967040778565908,0.113839681770466,0.198005125485801
"17",36,"High school degree",13,6,41,16.4,2.918216,3.805784,"Yes",0.212050390551138,0.175024767261369,0.408010484205201
"18",43,"Did not complete high school",23,19,72,7.6,1.181952,4.290048,"No",0.00140487060255445,0.000563999860427421,0.17793130940947
"19",39,"Did not complete high school",6,9,61,5.7,0.563274,2.913726,"No",0.104145390281715,0.092729658950997,0.144241548322777
"20",41,"Some college",0,21,26,1.7,0.099008,0.342992,"No",0.0919180135014027,0.0869105909754819,0.0905475842743514
"21",39,"Did not complete high school",22,3,52,3.2,1.154816,0.509184,"No",0.0043735364616344,0.00164474095768356,0.108172886416567
"22",47,"Did not complete high school",17,21,43,5.6,0.587552,1.820448,"No",0.00304735236249091,0.00201376135654785,0.142624515618002
"23",28,"Did not complete high school",3,6,26,10,0.4316,2.1684,"No",0.293932179671944,0.236041924669508,0.228897785847298
"24",29,"Did not complete high school",8,6,27,9.8,0.402192,2.243808,"No",0.106799619753194,0.204130576692517,0.224284794561537
"25",21,"High school degree",1,2,16,18,0.24192,2.63808,"Yes",0.629777455306767,0.620461226408894,0.459685523765733
"26",25,"College degree",0,2,32,17.6,2.14016,3.49184,"No",0.861313401393958,0.773743765928539,0.446640081169066
"27",45,"High school degree",9,26,69,6.7,0.707319,3.915681,"No",0.0164611579900324,0.01520071605721,0.161260140498931
"28",43,"Did not complete high school",25,21,64,16.7,0.951232,9.736768,"No",0.00143799346726798,0.000641927515098064,0.417581158840994
"29",33,"High school degree",12,8,58,18.4,3.084208,7.587792,"No",0.276706675474106,0.219532599900222,0.472786447367334
"30",26,"Some college",2,1,37,14.2,0.204906,5.049094,"No",0.50332186742386,0.479453765995919,0.340345791526492
"31",45,"Did not complete high school",3,15,20,2.1,0.105,0.315,"No",0.0764195852261632,0.0529185951936342,0.0949774523057643
"32",30,"Did not complete high school",1,10,22,10.5,1.13883,1.17117,"No",0.433699425118601,0.405229108934149,0.240719879471011
"33",27,"Some college",2,7,26,6,0.72228,0.83772,"No",0.288738875933443,0.233062013435398,0.149184219573304
"34",25,"Did not complete high school",8,4,27,14.4,1.018656,2.869344,"No",0.231100684278883,0.177802520204962,0.346280273672069
"35",25,"Did not complete high school",8,1,35,2.9,0.07714,0.93786,"No",0.0749571955933729,0.0480042726553067,0.104422211934525
"36",26,"High school degree",6,7,45,26,6.0489,5.6511,"No",0.950053516816289,0.946420103718697,0.709164136909414
"37",30,"High school degree",10,4,22,16.1,1.409716,2.132284,"No",0.211956403647939,0.25417611027888,0.398509074529238
"38",32,"High school degree",12,1,54,14.4,3.195936,4.580064,"No",0.335996915257273,0.417417714105591,0.346280273672069
"39",28,"High school degree",1,8,24,17.1,1.337904,2.766096,"Yes",0.643903295283559,0.659599885195508,0.430438062072136
"40",45,"Did not complete high school",23,5,50,4.2,0.5586,1.5414,"No",0.00226875357862989,0.0014604870209812,0.121540265102462
"41",23,"Did not complete high school",7,2,31,6.6,0.33759,1.70841,"No",0.132878207080903,0.097419360235256,0.159487876633662
"42",34,"Did not complete high school",17,3,59,8,1.80776,2.91224,"No",0.0317685432338983,0.0622616484352908,0.185763039434584
"43",42,"High school degree",7,23,41,4.6,0.941114,0.944886,"No",0.0319034793260759,0.0307905348504762,0.127274196819662
"44",39,"Did not complete high school",19,5,48,13.1,1.930416,4.357584,"No",0.0280793313767151,0.0102963057292182,0.308629906178795
"45",26,"Did not complete high school",0,0,14,7.5,0.3024,0.7476,"Yes",0.511049960032338,0.749382132397176,0.176014277117858
"46",21,"High school degree",0,1,16,6.8,0.150144,0.937856,"No",0.453616874344579,0.376452011382485,0.163048277810623
"47",35,"Did not complete high school",13,15,35,4.5,0.43155,1.14345,"No",0.0107818887723767,0.00703764487094369,0.125819411565012
"48",47,"Did not complete high school",4,2,26,10.4,0.12168,2.58232,"No",0.281657372501201,0.363860690914129,0.23832247968374
"49",23,"High school degree",0,2,21,11.4,0.775656,1.618344,"Yes",0.621784769760648,0.63595566508835,0.263029539285341
"50",35,"Did not complete high school",18,2,42,7.4,0.205128,2.902872,"No",0.0104607182588521,0.00432423778400214,0.1741135244113
"51",34,"Did not complete high school",2,11,25,12.6,0.5733,2.5767,"Yes",0.325347335549973,0.290873401728726,0.294767428627967
"52",46,"Did not complete high school",1,12,20,14,0.8092,1.9908,"No",0.423307925716517,0.324986168800171,0.33446097880431
"53",46,"Did not complete high school",16,18,52,12.9,3.032016,3.675984,"Yes",0.0370021170333805,0.0826923106735091,0.303041555782365
"54",38,"Some college",3,18,25,3.7,0.311725,0.613275,"No",0.0775524717061438,0.108528532516922,0.114687159414884
"55",40,"High school degree",3,2,28,9.5,0.55328,2.10672,"No",0.371499067550188,0.447742551950545,0.217489983603156
"56",37,"Did not complete high school",1,3,24,15.1,1.801128,1.822872,"Yes",0.747904441289944,0.63133850441931,0.367420656592906
"57",35,"Did not complete high school",9,1,34,5,0.3978,1.3022,"No",0.0842138549382499,0.0910494859358238,0.133237610593936
"58",39,"High school degree",16,13,69,2.4,1.061496,0.594504,"No",0.0073276033979216,0.00710451814283915,0.0984261698495888
"59",40,"Some college",18,6,100,2.5,1.485,1.015,"No",0.0102139314545583,0.00611630338139489,0.0996003083989934
"60",50,"Some college",10,20,80,12.2,2.47904,7.28096,"No",0.0874943892325751,0.149857043303797,0.283942686237709
"61",31,"Did not complete high school",9,10,28,2.4,0.047712,0.624288,"No",0.0279843707139338,0.0205429025701935,0.0984261698495888
"62",29,"Did not complete high school",13,1,42,7.4,1.457652,1.650348,"Yes",0.0732583522246898,0.0556601759400172,0.1741135244113
"63",37,"Did not complete high school",4,0,23,12.4,0.86986,1.98214,"No",0.457968087271607,0.461772013970883,0.289325043862157
"64",33,"High school degree",4,9,55,7,2.15985,1.69015,"No",0.345876955756017,0.356814445049778,0.166672400022865
"65",26,"High school degree",5,7,28,7.8,1.024296,1.159704,"No",0.214606863532908,0.234923122365093,0.181814378077261
"66",32,"High school degree",11,6,75,23.3,7.7589,9.7161,"Yes",0.927930676640709,0.950097301250358,0.630872534500338
"67",28,"High school degree",2,3,23,6.4,0.186944,1.285056,"Yes",0.299857848008327,0.339121772255982,0.155990731712526
"68",39,"Did not complete high school",19,8,46,9.1,2.515786,1.670214,"No",0.0217611569608649,0.0117291941549948,0.208663437695647
"69",28,"High school degree",8,3,31,8.2,1.492154,1.049846,"Yes",0.198324331672084,0.193518470166702,0.189777566816889
"70",29,"Did not complete high school",1,2,20,18.6,0.56916,3.15084,"Yes",0.683895029117709,0.666638379495109,0.479352131210508
